County Name,Census Tract,Count,Population,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,IBL Ranking
King,53033007500,36,52044,196.53,131.72,301.34,6
King,53033007600,31,21458,245.59,165.31,356.48,9
King,53033007700,22,25727,141.45,86.69,221.26,3
King,53033007800,36,27425,142.53,99.11,202.31,3
King,53033007900,64,32848,222.08,170.05,297.89,8
King,53033008001,40,36893,132.07,89.73,304.61,2
King,53033008002,50,21266,251.07,176.01,584.06,9
King,53033008100,56,27761,196.93,139.92,364.77,6
King,53033008200,89,24824,97.5,69.38,307.19,1
King,53033008300,44,15217,185.28,132.84,646.18,6
King,53033008400,47,35460,125.74,91.06,209.41,2
King,53033008500,67,25557,214.1,165.22,290.4,7
King,53033008600,22,35344,154.42,93.93,249.95,3
King,53033008700,28,22385,151.69,100.23,224.58,3
King,53033008800,26,19126,158.3,101.39,239.86,4
King,53033008900,53,28546,208.54,155.22,275.87,7
King,53033009000,69,18821,196.69,146.65,268.79,6
King,53033009100,52,15203,115.37,85.15,182.21,1
King,53033009200,60,16955,234.98,178.81,418.53,8
King,53033009300,20,17286,109.64,66.41,191.7,1
King,53033009400,42,32719,126.55,91.07,174.6,2
King,53033009500,42,33132,124.49,88.88,172.78,2
King,53033009600,78,28594,145.16,113.51,192.44,3
King,53033009701,29,29088,74.02,49,116.2,1
King,53033009702,35,27911,110.28,76.37,161.36,1
King,53033009800,34,35096,110.26,75.6,159.2,1
King,53033009900,24,30764,141.66,84.63,226.31,3
King,53033010001,31,21932,127.51,85.68,184.89,2
King,53033010002,43,23879,152.7,110.29,212.15,3
King,53033010100,110,40415,248.33,203.19,301.8,9
King,53033010200,43,25600,132.02,95.42,183.15,2
King,53033010300,73,36764,188.96,146.5,241.77,6
King,53033010401,51,23664,160.8,119.31,215.75,4
King,53033010402,53,25312,170.65,127.48,226.97,5
King,53033010500,150,47666,132.9,108.75,167.04,2
King,53033010600,46,39545,114.71,83.03,158.31,1
King,53033010701,18,19760,206.86,108.44,372.18,7
King,53033010702,35,20968,306.37,211.3,431.56,10
King,53033010800,34,24844,232.29,157.65,333.29,8
King,53033010900,**,7455,**,**,**,1
King,53033011001,72,24233,276.08,214.73,351.33,9
